,Akun,Post,Tag,Likes,Comments
111,marpaungjuan,"Don't let the past steal your present.
Heres wishing your heart be filled with love and peace. Have a wonderful Christmas and a blessed New Year .",[],150,"['Aww da first line', 'Banyak kli Wak Ju @marpaungjuan', 'Ohh yg ini yg gantiin posisi aku?? ', 'Btw? Merry Christmas ju.  Gbu and fams', 'Up', 'Yooown pk batam merry christmas mamen ', 'Selamat natal bang juuu', 'Mantapp', 'Uwwww jd enak the first wkwkw', 'Waduh ', 'Aku jadi yang kedua nih dek? Hahaha ', 'Inget ju foto bertiga berhati-hati ya wkwkwk', 'Merry Xmas ya wak lebooiii ', 'Jadi ini abang... Wkwkw']"
112,marpaungjuan,Happy mother's Day (2),[],121,"['Gajelas ikut2an', 'gajelas kek juan', 'ini lg ikut2an gaje awkwkw:(']"
113,marpaungjuan,Nasi uduk ok memang ok  makrab matematika murni 17 (20/37),[],108,"['Tukang foto yaa', 'Celana elthree banget', 'Yg gratisan bukan tuuh? Wkwkwk', 'Sehhhhh...makan enak ya @marpaungjuan ??']"
114,marpaungjuan,Marpaungg,[],116,"['Cie yang lagi kangen kampung~~~', 'Ganteng bet bapak', 'Uhhhh kka gk gk bsa kmpulll wktu itu  @marpaungjuan', 'Follback bang @marpaungjuan']"
115,marpaungjuan,"The last moment in FMIPA CAMP 2017
FMIPA CAMP 2017
So Good ""Solid Generation in God'
Kita bertumbuh di dalam kasih sehati, sepikiran, setujuan melangkah bersama tuaian besar telah menanti di hadapan kita",[],107,"['', 'Duhh kak ivanaa @ivanabsm', 'oh jadi ini ju ...', 'Guardian angelquuu', 'Hai kakakku @ivanarbnp @ivanabsm ', 'langsung dapat cewek ya', 'Dpat di simpang mana ne ju']"
116,marpaungjuan,PMK UNJ 2017,[],104,['Brondong queee ']
117,marpaungjuan,Tubuh Kristus Squad #fmipacamp2017 #fmipa #sogood #pmk #blessed,"['fmipacamp2017', 'fmipa', 'sogood', 'pmk', 'blessed']",86,"['Kok aku cantik sih ', 'Astaga guanyaa', 'Wah banyak cwe ,tumben laku ju :v @marpaungjuan']"
118,marpaungjuan,"Matematika UNJ 2017 Squad
Foto 1-2 acara FMIPA CAMP
3-5 Acara peringatan hari kesaktian pancasila dan hari batik nasional #fmipa #unjhitz #unj #matematika #haribatiknasional","['fmipa', 'unjhitz', 'unj', 'matematika', 'haribatiknasional']",87,['Foto yg sama gue? WKWKWKWKWKWK']
119,marpaungjuan,Batam squad #batamhitz #unjhitz #pmk #fmipacamp2017 #fmipa @tesatrilonika @evaaoa,"['batamhitz', 'unjhitz', 'pmk', 'fmipacamp2017', 'fmipa']",101,"['Dasarrrr', 'A en jae ye', 'Semangad anak Batam!', 'Kenapa lo @mutiararc @wdyakzia1 | semangat juga kak @evaaoa', 'Waaaa batam squadd', 'tobay ih']"
120,marpaungjuan,Keluarga besar Parnamas #unjhitz#pmk#fmipa,"['unjhitz', 'pmk', 'fmipa']",131,['Kayak bapak orang ko disitu']
121,marpaungjuan,"Cie baru dapat almet ini keluarga baruku mana keluarga barumu?
#UNJ#MATEMATIKAUNJ2017","['unj', 'matematikaunj2017']",86,['Polbek ju']
122,marpaungjuan,See you in the next trip guys (From Batam To jakarta) btw viewnya bagus di list buat daftar tempat foto prewedd #smafour My Trip My Adventure,['smafour'],85,"['Kepikiran aja najis buat prewed wkwkwkwkwk', '@meitrina harus mulai ancang ancang mei wkwk', ' ']"
123,marpaungjuan,The world is a book and those who do not travel ready only one page -saint augustine,[],87,[]
124,marpaungjuan,"Aksi sosial bisa dilkukan oleh siapa saja tidak terkecuali kamu Ayo lakukan aksi sosialmu untuk peradaban yang lebih maju
.
Ini aksi kami, mana aksi kalian sobat? 
#MPAFMIPA 2017
#InisiatorPeradaban
#MulaiDariDiriSendiri
#MulaiDariHalKecil
#MulaiDariSekarang
#Kelompok10

@mpafmipaunj2017","['mpafmipa', 'inisiatorperadaban', 'mulaidaridirisendiri', 'mulaidarihalkecil', 'mulaidarisekarang', 'kelompok10']",64,[]
